IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
01/07/2015,01/09/2015,01/11/2015,63615,$50.00,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",Fundraiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218
03/16/2015,03/28/2015,03/29/2015,63694,$25.00,Baltimore Curriculum Project/Hampstead Hill PTO,Fundraiser,WS,BW,Beer & Wines,500  S Linwood Ave ,21224
03/16/2015,03/28/2015,03/30/2015,63693,$50.00,Baltimore Curriculum Project/Hampstead Hill PTO,Fundraiser,WS,BW,Beer & Wines,500 S. Linwood Ave ,21224
03/16/2015,03/21/2015,03/22/2015,63695,$25.00,Best Democratic Club,Awards Dinner,WS,BW,Beer & Wines,1701 N. Gay Street,21213
03/20/2015,03/21/2015,03/22/2015,63700,$50.00,Team Maryland Athletics Inc,Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1601 PENNSYLVANIA AVENUE,21217
03/23/2015,04/18/2015,04/19/2015,63701,$50.00,"Patterson Park Public Charter School, Inc.",Slilent Art Auction,LS,BWL,"Beer, Wine, & Liquor",27 N  Lakewood Ave (cafeteria),21224
03/24/2015,04/02/2015,04/04/2015,63704,$50.00,Mall Spirits Liquor Store,Beer /Wine Tasting,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,6630  Reistertown Rd,21215
04/08/2015,04/10/2015,04/11/2015,63714,$50.00,"NEW VISION YOUTH SERVICES, INC. ",Dance,LS,BWL,"Beer, Wine, & Liquor",401 N HOWARD ST,21201
04/09/2015,05/09/2015,05/10/2015,63715,$25.00,BETH ANN SYNAGOGUE,Fundraiser,WS,BW,Beer & Wines,2501 Eutaw Place,21217
04/09/2015,04/11/2015,04/12/2015,63716,$50.00,SOUTH BALTIMORE LEARNING CORPORATION,Fundraiser Gala,LS,BWL,"Beer, Wine, & Liquor",1800 Washington Blvd,21230
04/10/2015,04/25/2015,04/26/2015,63717,$50.00,"CRAIG WILLINGER FUND, INC.",Sporting Event Roller Derby,LS,BWL,"Beer, Wine, & Liquor",1301 E. Ellwood Ave,21224
04/13/2015,04/23/2015,04/24/2015,63721,$25.00,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC.",Special Event,WS,BW,Beer & Wines, 1 Center Plaza ,21201
04/13/2015,04/25/2015,04/26/2015,63722,$50.00,Baltimore Mangement Agency/ Craig Willinger Fund,Music Festival,LS,BWL,"Beer, Wine, & Liquor",000 Druid Hill Park,21217
06/17/2015,06/19/2015,06/20/2015,63863,$50.00,MARYLAND ART PLACE,14 Karat Cabaret,LS,BWL,"Beer, Wine, & Liquor",218 W. SARATOGA STREET,21201
06/17/2015,07/01/2015,07/02/2015,63862,$25.00,Fells Point Main Street,Fundraiser,WS,BW,Beer & Wines,1632 Aliceanna Street,21202
06/17/2015,06/24/2015,06/25/2015,63861,$25.00,Fells Point Main Street,Fundraiser,WS,BW,Beer & Wines,1632 Aliceanna Street,21202
06/17/2015,06/17/2015,06/18/2015,63860,$25.00,Fells Point Main Street,Fundraiser,WS,BW,Beer & Wines,1632 Aliceanna Street,21202
06/19/2015,06/25/2015,06/26/2015,63870,$50.00,MAP/PIER 6,Concert,LS,BWL,"Beer, Wine, & Liquor",731 Eastern Ave,21202
06/19/2015,06/22/2015,06/23/2015,63869,$50.00,MAP/PIER 6,Concert,LS,BWL,"Beer, Wine, & Liquor",731 Eastern Ave,21202
